Date,Year,revenue_type,revenue
2023-03-31,2023,Premium Revenue,2713.0
2022-12-31,2022,Premium Revenue,2717.0
2022-09-30,2022,Premium Revenue,2651.0
2022-06-30,2022,Premium Revenue,2504.0
2022-03-31,2022,Premium Revenue,2379.0
2021-12-31,2021,Premium Revenue,2295.0
2021-09-30,2021,Premium Revenue,2178.0
2021-06-30,2021,Premium Revenue,2056.0
2021-03-31,2021,Premium Revenue,1931.0
2020-12-31,2020,Premium Revenue,1887.0
2020-09-30,2020,Premium Revenue,1790.0
2020-06-30,2020,Premium Revenue,1758.0
2020-03-31,2020,Premium Revenue,1700.0
2019-12-31,2019,Premium Revenue,1638.0
2019-09-30,2019,Premium Revenue,1561.0
2019-06-30,2019,Premium Revenue,1502.0
2019-03-31,2019,Premium Revenue,1385.0
2018-12-31,2018,Premium Revenue,1320.0
2018-09-30,2018,Premium Revenue,1210.0
2018-06-30,2018,Premium Revenue,1150.0
2018-03-31,2018,Premium Revenue,1037.0
2017-12-31,2017,Premium Revenue,1018.0
2017-09-30,2017,Premium Revenue,923.0
2017-06-30,2017,Premium Revenue,904.0
2017-03-31,2017,Premium Revenue,828.0
2016-12-31,2016,Premium Revenue,
2023-03-31,2023,Ad Revenue,329.0
2022-12-31,2022,Ad Revenue,449.0
2022-09-30,2022,Ad Revenue,385.0
2022-06-30,2022,Ad Revenue,360.0
2022-03-31,2022,Ad Revenue,282.0
2021-12-31,2021,Ad Revenue,394.0
2021-09-30,2021,Ad Revenue,323.0
2021-06-30,2021,Ad Revenue,275.0
2021-03-31,2021,Ad Revenue,216.0
2020-12-31,2020,Ad Revenue,281.0
2020-09-30,2020,Ad Revenue,185.0
2020-06-30,2020,Ad Revenue,131.0
2020-03-31,2020,Ad Revenue,148.0
2019-12-31,2019,Ad Revenue,217.0
2019-09-30,2019,Ad Revenue,170.0
2019-06-30,2019,Ad Revenue,165.0
2019-03-31,2019,Ad Revenue,126.0
2018-12-31,2018,Ad Revenue,175.0
2018-09-30,2018,Ad Revenue,142.0
2018-06-30,2018,Ad Revenue,123.0
2018-03-31,2018,Ad Revenue,102.0
2017-12-31,2017,Ad Revenue,130.0
2017-09-30,2017,Ad Revenue,109.0
2017-06-30,2017,Ad Revenue,103.0
2017-03-31,2017,Ad Revenue,74.0
2016-12-31,2016,Ad Revenue,
